Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,EnglishTitle,OMDb_Title,OMDb_Year,OMDb_Rated,OMDb_Released,OMDb_Runtime,OMDb_Genre,OMDb_Director,OMDb_Writer,OMDb_Actors,OMDb_Plot,OMDb_Language,OMDb_Country,OMDb_Awards,OMDb_Poster,OMDb_Ratings,OMDb_Metascore,OMDb_imdbRating,OMDb_imdbVotes,OMDb_imdbID,OMDb_Type,OMDb_DVD,OMDb_BoxOffice,OMDb_Production,OMDb_Website,OMDb_Response,Error
Major Grom: Plague Doctor // Майор Гром: Чумной Доктор,No,2021-05-05,"1,900,000",2:18,800000,Major Grom: Plague Doctor,Major Grom: Plague Doctor,2021.0,TV-14,01 Apr 2021,136 min,"Action, Comedy, Crime",Oleg Trofim,"Vladimir Besedin, Evgeny Eronin, Artyom Gabrelyanov","Tikhon Zhiznevskiy, Lyubov Aksyonova, Sergei Goroshko","Supercop Grom fights crime in St. Petersburg - an uphill battle. A vigilante starts killing the powerful, who escaped justice.",Russian,Russia,1 nomination total,https://m.media-amazon.com/images/M/MV5BOTI4ZmI4NzAtN2ZiMC00YWQwLTg3NjItYzJlNDYzNGNmNmI3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,6.3,"14,450",tt7601480,movie,,,,,True,
The 8th Night // 제8일의 밤,Yes,2021-07-02,"1,600,000",1:56,800000,The 8th Night,The 8th Night,2021.0,TV-MA,02 Jul 2021,115 min,"Horror, Thriller",Kim Tae-hyung,Kim Tae-hyung,"Lee Sung-min, Park Hae-joon, Kim Yoo-jung","With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth.",Korean,South Korea,,https://m.media-amazon.com/images/M/MV5BMTdmMjZjOTMtMzQyYi00YjliLTgyZmQtZjE3YzI2ZWFjYzVmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",,5.3,"4,765",tt14781176,movie,,,,,True,
Bartkowiak,Yes,2021-07-28,"1,200,000",1:32,800000,Bartkowiak,Bartkowiak,2021.0,TV-MA,28 Jul 2021,91 min,"Action, Crime, Sport",Daniel Markowicz,"Daniel Bernardi, Monika Slawecka","Józef Pawlowski, Zofia Domalik, Szymon Bobrowski","After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub and soon learns his sibling's death wasn't an accident.",Polish,Poland,,https://m.media-amazon.com/images/M/MV5BZWQ1YzYxYTktMGFiNi00YjdjLWI2ODAtNjI2MmI0YjllMGVlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",,5.1,"1,473",tt14315566,movie,,,,,True,
Untold: Malice at the Palace,Yes,2021-08-10,"900,000",1:10,800000,Untold: Malice at the Palace,Untold: Malice at the Palace,2021.0,TV-MA,10 Aug 2021,68 min,"Documentary, Crime, Sport",Floyd Russ,,"Jermaine O'Neal, Stephen Jackson, Metta World Peace","A brawl broke out near the end of a game between the Indiana Pacers and the Detroit Pistons on November 19, 2004. Nearly 17 years later, we re-examine that night and all the consequences that came from it.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTE0N2M2YmYtZWMzOC00OTM3LWIwYzktZjc0YzBhZTA1MGZhXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"9,658",tt15085802,movie,,,,,True,
Memories of a Murderer: The Nilsen Tapes,Yes,2021-08-18,"1,100,000",1:26,800000,Memories of a Murderer: The Nilsen Tapes,Memories of a Murderer: The Nilsen Tapes,2021.0,TV-MA,18 Aug 2021,84 min,"Documentary, Biography, Crime",Michael Harte,,"Douglas Bence, Bob Brenton, Mike Cattran",Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.,English,United Kingdom,1 nomination total,https://m.media-amazon.com/images/M/MV5BZmVlN2JhMTQtZDUxYi00ODZjLTkyODYtMjQ5ZGFkZmMzZjU4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,6.3,"4,660",tt15085784,movie,,,,,True,
Prayers for the Stolen // Noche de fuego,No,2021-11-16,"1,400,000",1:51,800000,Prayers for the Stolen,Prayers for the Stolen,2021.0,R,17 Nov 2021,111 min,Drama,Tatiana Huezo,"Jennifer Clement, Tatiana Huezo","Memo Villegas, Norma Pablo, Mayra Batalla",Life in a town at war seen through the eyes of three young girls on the path to adolescence.,Spanish,"Mexico, Germany, Brazil, Qatar, Switzerland, United States",23 wins & 36 nominations,https://m.media-amazon.com/images/M/MV5BY2JlYWY3MWItZWJlZC00MzgzLTg1NzQtZTYxOGU1NmY2NTdjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83.0,7.3,"4,230",tt10366574,movie,,,,,True,
A Castle For Christmas,Yes,2021-11-26,"1,400,000",1:39,800000,A Castle For Christmas,A Castle for Christmas,2021.0,TV-G,26 Nov 2021,98 min,"Adventure, Comedy, Drama",Mary Lambert,"Ally Carter, Kim Beyer-Johnson","Brooke Shields, Cary Elwes, Lee Ross","To escape a scandal, a bestselling author journeys to Scotland, where she falls in love with a castle - and faces off with the grumpy duke who owns it.",English,"United Kingdom, United States",,https://m.media-amazon.com/images/M/MV5BNzExYmJjNTUtZWFmMi00MzYzLTkxNGEtYzZhNzQ5OWYwZjQ2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53.0,5.6,"16,485",tt13070602,movie,,,,,True,
Anonymously Yours // Anónima,Yes,2021-12-10,"1,400,000",1:41,800000,Anonymously Yours,Anonymously Yours,2021.0,,10 Dec 2021,100 min,"Drama, Romance",Maria Torres,"Alexandro Aldrete, Daniela Gómez, Maria Torres","Annie Cabello, Harold Azuara, Estefi Merelles","After an accidental text message turns into a digital friendship, Vale and Alex start crushing on each other without realizing they've met in real life.",Spanish,Mexico,,https://m.media-amazon.com/images/M/MV5BNzA3MzlmNTktZWJiNS00MTEzLTgwOTYtOThmYmZkZDRlMDQ3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",,5.8,"2,502",tt16088568,movie,,,,,True,
Puff: Wonders of the Reef,Yes,2021-12-16,"800,000",0:59,800000,Puff: Wonders of the Reef,Puff: Wonders of the Reef,2021.0,TV-G,16 Dec 2021,62 min,"Documentary, Family",Nick Robinson,"Peta Ayers, Nick Robinson",Rose Byrne,A baby pufferfish travels through a wondrous microworld full of fantastical creatures as he searches for a home on the Great Barrier Reef.,English,"Australia, United States",4 nominations total,https://m.media-amazon.com/images/M/MV5BYWE4ODhjNzEtMThiMy00OTFjLTkyMDktMzAwNWY3MmFiZGEyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,"1,258",tt15753666,movie,,,,,True,
Hilda and the Mountain King,Yes,2021-12-30,"1,100,000",1:25,800000,Hilda and the Mountain King,Hilda and the Mountain King,2021.0,TV-Y7,30 Dec 2021,85 min,"Animation, Adventure, Comedy",Andy Coyle,"Luke Pearson, Stephanie Simpson, Kurt Mueller","Bella Ramsey, Ameerah Falzon, Oliver Nelson","When Hilda wakes up in the body of a troll, she must use her wits and courage to get back home, become human again and save the city of Trolberg.",English,"United Kingdom, United States, Canada",2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMjQyOTJiMDUtMGFmZC00NDE2LTk2MGEtNWE1NzA1YmQwYmQzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",,7.7,"4,179",tt15777864,movie,,,,,True,
Copshop,No,2022-01-14,"1,400,000",1:48,800000,Copshop,Copshop,2021.0,R,17 Sep 2021,107 min,"Action, Thriller",Joe Carnahan,"Kurt McLeod, Joe Carnahan, Mark Williams","Gerard Butler, Frank Grillo, Alexis Louder","On the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town police station-but when the hitman turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs.",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMmM4YzA5NDEtM2Q2Ny00ZDlkLWFiMGUtNDhmY2JkZmU2YTkzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61.0,6.2,"43,096",tt5748448,movie,,"$5,213,243",,,True,
Munich – The Edge of War,Yes,2022-01-21,"1,800,000",2:11,800000,Munich – The Edge of War,Munich: The Edge of War,2021.0,PG-13,21 Jan 2022,130 min,"Biography, Drama, History",Christian Schwochow,"Ben Power, Robert Harris","George MacKay, Jannis Niewöhner, Jeremy Irons","A British diplomat travels to Munich in the run-up to World War II, where a former classmate of his from Oxford is also en route, but is working for the German government.","English, German","United Kingdom, United States",1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNzU4NGVlMTAtODEyNC00YjkzLWIwYmQtMGVhYWFjNTM0MTBiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53.0,6.8,"37,492",tt7475578,movie,,,,,True,
Metal Lords,Yes,2022-04-08,"1,400,000",1:39,800000,Metal Lords,Metal Lords,2022.0,R,08 Apr 2022,97 min,"Comedy, Music",Peter Sollett,D.B. Weiss,"Jaeden Martell, Adrian Greensmith, Isis Hainsworth",Two friends try to form a heavy metal band with a cellist for a Battle of the Bands.,"English, Spanish",United States,,https://m.media-amazon.com/images/M/MV5BMDUwYWUxNWEtZjJlOC00OWE1LTljNDQtMjYwZjFiYzVmZjZhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59.0,6.7,"35,491",tt12141112,movie,,,,,True,
Yakuza Princess,No,2022-04-20,"1,500,000",1:52,800000,Yakuza Princess,Yakuza Princess,2021.0,R,07 Oct 2021,111 min,"Action, Crime, Thriller",Vicente Amorim,"Danilo Beyruth, Fernando Toste, Kimi Lee","Masumi, Jonathan Rhys Meyers, Tsuyoshi Ihara",The heiress to half of the Yakuza crime syndicate forges an uneasy alliance with an amnesiac stranger who believes an ancient sword binds their two fates. She must unleash war against the other half of the syndicate who wants her ...,"Japanese, English, Portuguese","Brazil, United States",,https://m.media-amazon.com/images/M/MV5BZmM0ZWM5MTktNDFjYS00OTY1LWFiZTQtNjJlODZiMmQyZjI1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34.0,4.8,"2,290",tt10715446,movie,,"$32,124",,,True,
F*ck Love Too // F*ck de Liefde 2,Yes,2022-05-20,"1,300,000",1:33,800000,F*ck Love Too,F*ck Love Too,2022.0,TV-MA,20 May 2022,92 min,"Comedy, Romance","Appie Boudellah, Aram van de Rest","Shariff Nasr, Sergej Groenhart, Appie Boudellah","Bo Maerten, Géza Weisz, Yolanthe Cabau","In this romantic comedy, several friends, each dealing with unhappy love lives, turn to each other for help - but not always with the best results.","Dutch, English",Netherlands,,https://m.media-amazon.com/images/M/MV5BNjgzNTIwODktNTZiZC00Yjc5LWE4NGUtMjM2NjI3ZDZhYjA0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",,3.9,"1,484",tt15432804,movie,,,,,True,
The Entitled,Yes,2022-07-29,"1,400,000",1:39,800000,The Entitled,The Entitled,2011.0,R,08 Jul 2017,91 min,"Crime, Thriller",Aaron Woodley,William Morrissey,"Kevin Zegers, Ray Liotta, Laura Vandervoort","A young man, broke and jobless, abducts three rich college kids to try and get money from their fathers.",English,Canada,1 nomination,https://m.media-amazon.com/images/M/MV5BMTcwMDY3NjIyMV5BMl5BanBnXkFtZTcwNzkyNTk2Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",,6.1,"6,927",tt1650535,movie,,,,,True,
13: The Musical,Yes,2022-08-12,"1,200,000",1:35,800000,13: The Musical,13: The Musical,2022.0,PG,12 Aug 2022,91 min,"Comedy, Drama, Family",Tamra Davis,"Robert Horn, Jason Robert Brown, Dan Elish","Eli Golden, Josh Peck, Debra Messing","After his parents' divorce, Evan Goldman moves from NYC to small-town Indiana. As his 13th birthday nears, he must master the complex social circles of his new school and win friends by turning his Bar Mitzvah into the coolest par...",English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYWZkOTczZWEtYWQzNy00YWM4LWE5MTItNGI5YTYxZWU5NDZlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57.0,5.2,"1,164",tt3975918,movie,,,,,True,
Under Her Control // La jefa,Yes,2022-08-31,"1,400,000",1:50,800000,Under Her Control,Under Her Control,2022.0,TV-MA,31 Aug 2022,109 min,Drama,Fran Torres,Laura Sarmiento Pallarés,"Aitana Sánchez-Gijón, Cumelén Sanz, Younes Bachir","When a fashion employee thinks she will have to end her promising career after getting pregnant, her boss offers to adopt the child.",Spanish,Spain,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNTIyNTVjOGItYzA1ZC00NmNkLWFhYzUtZDRhNTIzMmVhOWQ4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",,4.8,"2,122",tt15006754,movie,,,,,True,
Plan A Plan B // प्लान ए प्लान बी,Yes,2022-09-30,"1,500,000",1:46,800000,Plan A Plan B,Plan A Plan B,2022.0,TV-14,30 Sep 2022,105 min,"Comedy, Romance","Shashanka Ghosh, Nasir",Rajat Arora,"Riteish Deshmukh, Tamannaah Bhatia, Poonam Dhillon","Follows a matchmaker who believes marriage is for everyone except herself, and a successful divorce lawyer with a secret, who cross paths, and explores if opposites coexist or attract.",Hindi,India,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BN2M3NTFlODQtOWUzNC00YzU1LThlM2YtZmY3YTBkNmVlNzYxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}]",,4.6,"3,415",tt15238986,movie,,,,,True,
Christmas on Mistletoe Farm,Yes,2022-11-23,"1,400,000",1:44,800000,Christmas on Mistletoe Farm,Christmas on Mistletoe Farm,2022.0,,23 Nov 2022,102 min,"Comedy, Family",Debbie Isitt,Debbie Isitt,"Scott Garnham, Scott Paige, Kathryn Drysdale","After inheriting a farm at Christmas time, a widowed father makes a bumpy adjustment to village life - while his kids hatch a plan to stay there forever.",English,United Kingdom,,https://m.media-amazon.com/images/M/MV5BNmJhZjFkMTMtYTU0MS00YTkxLTk4MjItYWQ5YjA5NDFjNGZkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",,4.5,"2,084",tt20561114,movie,,,,,True,
Marry My Dead Body // 關於我和鬼變成家人的那件事 // 关于我和鬼变成家人的那件事,Yes,2023-08-10,"1,800,000",2:10,800000,Marry My Dead Body,Marry My Dead Body,2022.0,TV-MA,10 Aug 2023,130 min,"Action, Comedy, Crime",Wei-Hao Cheng,"Wei-Hao Cheng, Lai Chih-liang, Sharon Wu","Greg Han Hsu, Po-Hung Lin, Gingle Wang","One day a police officer finds a red wedding envelope, only to find out that the owner is in fact a ghost asking for the officer's hand in marriage before reincarnation. What will happen when a human and a ghost form a special bond?","Mandarin, Min Nan",Taiwan,5 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMDY3OGQ4ZWMtMTU0OC00NjIzLTg3NTktYTI5NTllZWM0NDhkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}]",,7.0,"7,068",tt22742964,movie,,,,,True,
Happy Ending,Yes,2023-09-01,"1,200,000",1:33,800000,Happy Ending,Happy Ending,2014.0,Not Rated,21 Nov 2014,135 min,"Comedy, Romance","Krishna D.K., Raj Nidimoru","Raj Nidimoru, Krishna D.K., Sita Menon","Saif Ali Khan, Ileana D'Cruz, Kalki Koechlin",A confused writer goes on the search of inspiration for his next story and falls in love with a best seller author who doesn't believe in love.,Hindi,India,1 win & 7 nominations,https://m.media-amazon.com/images/M/MV5BZGMyMzRkMmQtZWFmZC00ZTU1LTgwMDItZmYzZWZlZjVjYzQwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",,5.4,"3,930",tt3017412,movie,,"$313,770",,,True,
Women on the Edge // No me rompan,No,2023-12-01,"1,300,000",1:35,800000,Women on the Edge,Women on the Edge,2011.0,,28 Jul 2012,101 min,Drama,Masahiro Kobayashi,Masahiro Kobayashi,"Miho Fujima, Yûko Nakamura, Makiko Watanabe","Following the 2011 tsunami, three women reunite in the family home only to rekindle tense, ruinous relationships.",Japanese,Japan,,,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",,5.8,27,tt2065946,movie,,,,,True,
Hell Camp: Teen Nightmare,Yes,2023-12-27,"1,200,000",1:30,800000,Hell Camp: Teen Nightmare,Hell Camp: Teen Nightmare,2023.0,TV-MA,27 Dec 2023,90 min,"Documentary, Crime",Liza Williams,,"Nadine Louise Guerrara, Steve Cartisano, Chris Smith","Out-of-control teens across America were sent to a therapy camp in the harsh Utah desert. The conditions were brutal, but the staff were even worse.",English,"United States, United Kingdom",,https://m.media-amazon.com/images/M/MV5BNGQ3M2RmYTktODYzNS00YTUzLTllY2MtODRhMTBhOWY2ZjI0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",,6.1,"4,582",tt30225680,movie,,,,,True,
Good Grief,Yes,2024-01-05,"1,300,000",1:41,800000,Good Grief,Good Grief,2023.0,R,05 Jan 2024,100 min,"Comedy, Drama, Romance",Dan Levy,Dan Levy,"Dan Levy, Ruth Negga, Himesh Patel","When his husband unexpectedly dies, Marc's world shatters, sending him and his two best friends on a soul-searching trip to Paris that reveals some hard truths they each needed to face.",English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BMzVjNWM1YTQtZDQwNi00NzkzLWIyMzEtOGYwYWQwNGVjMTI4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59.0,6.4,"11,628",tt19887550,movie,,,,,True,
The Kitchen,Yes,2024-01-19,"1,500,000",1:49,800000,The Kitchen,The Kitchen,2019.0,R,09 Aug 2019,102 min,"Action, Crime, Drama",Andrea Berloff,"Andrea Berloff, Ollie Masters, Ming Doyle","Melissa McCarthy, Tiffany Haddish, Elisabeth Moss",The wives of New York gangsters in Hell's Kitchen in the 1970s continue to operate their husbands' rackets after they're locked up in prison.,"English, Hebrew","United States, Canada",1 nomination,https://m.media-amazon.com/images/M/MV5BMDUyNTU1MDctYmI2My00MDc5LTgxNzUtZGM1ZmI1YmIyODFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35.0,5.6,"23,349",tt5822564,movie,,"$12,180,032",,,True,
Murder Mubarak // मर्डर मुबारक,Yes,2024-03-15,"1,800,000",2:22,800000,Murder Mubarak,Murder Mubarak,2024.0,TV-MA,15 Mar 2024,140 min,"Comedy, Mystery, Romance",Homi Adajania,"Anuja Chauhan, Gazal Dhaliwal, Suprotim Sengupta","Pankaj Tripathi, Sara Ali Khan, Vijay Varma","During a murder investigation, a non-traditional police officer turns a spotlight on an array of suspects. He steps into their world as an outsider, only to find there is so much more than what meets the eye.",Hindi,India,2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BZmVmZGVmYmYtNTIwOC00NjY0LWE3MWItYTRmNTQxZjU2OTA1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",,5.8,"50,865",tt27028399,movie,,,,,True,
Living with Leopards,Yes,2024-05-10,"1,000,000",1:11,800000,Living with Leopards,Living with Leopards,2024.0,,10 May 2024,71 min,Documentary,Alex Parkinson,,"Brad Bestelink, Alex Parkinson",A nature documentary that follows two leopard cubs as they make the journey from infancy into adulthood.,English,United Kingdom,3 nominations total,https://m.media-amazon.com/images/M/MV5BOTlmMDYzMmUtNDk3MC00MWMyLThiZjAtOGM4YjZmYTFlM2M5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",,7.4,853,tt32138821,movie,,,,,True,
My Oni Girl // 好きでも嫌いなあまのじゃく,Yes,2024-05-24,"1,400,000",1:44,800000,My Oni Girl,My Oni Girl,2024.0,TV-PG,24 May 2024,112 min,"Animation, Adventure, Drama","Tomotaka Shibayama, Francesca Calo","Yûko Kakihara, Tomotaka Shibayama","Kenshô Ono, Miyu Tomita, Kanon Amane",A high school student's life takes an unexpected turn when he meets an oni (demon) girl on a quest in the human world.,Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BNmUyNjE1YjUtZGJlNC00YTcyLTgzZWQtOGUxNjJhM2VmODY0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",,6.0,"1,566",tt31788773,movie,,,,,True,
The Accidental Twins // Hermanos por accidente,Yes,2024-06-20,"1,200,000",1:25,800000,The Accidental Twins,The Accidental Twins,2024.0,,20 Jun 2024,84 min,Documentary,Alessandro Angulo,"Alessandro Angulo, Diego Chalela",Tom Wade,Two sets of identical twins switched at birth in Colombia explore their complex history and new identities in this captivating documentary.,Spanish,Colombia,,https://m.media-amazon.com/images/M/MV5BZjBiNWNmYWQtMTgxNS00MGZmLTk3ZTktMTg5MzViOGNlMTJjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,805,tt32441275,movie,,,,,True,
Mountain Queen: The Summits of Lhakpa Sherpa,Yes,2024-07-31,"1,400,000",1:44,800000,Mountain Queen: The Summits of Lhakpa Sherpa,Mountain Queen: The Summits of Lhakpa Sherpa,2023.0,R,31 Jul 2024,105 min,Documentary,Lucy Walker,,"Lhakpa Sherpa, Shiny Dijmarescu, Sunny Dijmarescu",A single mother working as a dishwasher who has another life as record-breaking mountain climber.,"English, Nepali",United States,1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BZWY0MTgyYjktMmQ1Ny00NzZkLWFlMTAtNmNiYjEwMGI1ZmU1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",,7.6,"1,827",tt28448182,movie,,,,,True,
CTRL,Yes,2024-10-04,"1,300,000",1:39,800000,CTRL,CTRL,2024.0,,04 Oct 2024,99 min,"Drama, Thriller",Vikramaditya Motwane,"Vikramaditya Motwane, Avinash Sampath, Sumukhi Suresh","Ananya Panday, Vihaan Samat, Devika Vatsa","Nella and Joe are the perfect influencer couple, but when he cheats on her, she turns to an AI app to erase him from her life - until it takes control.",,India,,https://m.media-amazon.com/images/M/MV5BNDc4ODRjZTMtMGUyMS00ODcwLWFhNzgtZDdkMTNiN2EwZDc3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}]",,6.2,"5,361",tt12736014,movie,,,,,True,
Animals on the Loose: A You vs. Wild Movie,No,2025-01-23,"600,000",0:43,800000,Animals on the Loose: A You vs. Wild Movie,Animals on the Loose: A You vs. Wild Movie,2021.0,TV-PG,16 Feb 2021,90 min,Adventure,Ben Simms,"Robert Buchta, Bear Grylls, Delbert Shoopman",Bear Grylls,"The protective fence surrounding a wildlife sanctuary has mysteriously suffered a breach. Bear is called in to help rescue a mischievous baboon, track down a hungry lion, and fix the fence before any more animals get out.",English,United States,,https://m.media-amazon.com/images/M/MV5BNjA5MGFhYmYtYTBkYS00NjYzLWFkZjgtYWNiNmE5ZTFiNDAwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",,5.8,"1,066",tt13853720,movie,,,,,True,
The Green Mile,No,,"2,600,000",3:09,800000,The Green Mile,The Green Mile,1999.0,R,10 Dec 1999,189 min,"Crime, Drama, Fantasy",Frank Darabont,"Stephen King, Frank Darabont","Tom Hanks, Michael Clarke Duncan, David Morse",A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,"English, French",United States,Nominated for 4 Oscars. 15 wins & 37 nominations total,https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61.0,8.6,"1,511,405",tt0120689,movie,,"$136,801,374",,,True,
Kal Ho Naa Ho // कल हो ना हो,No,,"2,500,000",3:07,800000,Kal Ho Naa Ho,Kal Ho Naa Ho,2003.0,Not Rated,28 Nov 2003,186 min,"Comedy, Drama, Musical",Nikkhil Advani,"Niranjan Iyengar, Karan Johar","Preity G Zinta, Shah Rukh Khan, Saif Ali Khan","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love fo...","Hindi, English","India, Canada",45 wins & 47 nominations,https://m.media-amazon.com/images/M/MV5BMDNjZmRmMjEtMDA5NS00ZjIxLWJlYWQtNTIyM2FiZjg4NzM4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54.0,7.9,"77,007",tt0347304,movie,,"$1,991,922",,,True,
